name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Saša Lukić,MID,Fulham,249,34,339,17,False,2025-04-26T14:00:00Z,48,5372,45,0,1,0,0,0,0,0,0,10,0,0,0,0.06,0.02,0.08,0.24,,,,,12.4,12.4,2.0,2.7,0.0
Godwill Kukonki,DEF,Man Utd,691,34,332,3,False,2025-04-27T13:00:00Z,40,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Tyrell Malacia,DEF,Man Utd,379,34,332,3,False,2025-04-27T13:00:00Z,44,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Lucas Tolentino Coelho de Lima,MID,West Ham,527,34,333,5,False,2025-04-26T14:00:00Z,57,109714,90,1,2,0,0,0,3,0,0,9,0,0,0,0.02,0.06,0.08,1.31,,,,,9.2,16.1,5.0,3.0,0.0
Lewis Dunk,DEF,Brighton,120,34,333,19,True,2025-04-26T14:00:00Z,42,276738,90,1,1,0,0,0,2,0,0,14,0,0,0,0.12,0.01,0.13,1.27,,,,,22.0,1.9,43.0,6.7,0.0
Jayden Danns,FWD,Liverpool,709,34,335,18,True,2025-04-27T15:30:00Z,45,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Mason Holgate,DEF,Everton,225,34,334,6,False,2025-04-26T11:30:00Z,40,15913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Kurt Zouma,DEF,West Ham,532,34,333,5,False,2025-04-26T14:00:00Z,44,14654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Sékou Mara,FWD,Southampton,468,34,339,9,True,2025-04-26T14:00:00Z,50,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
Joseph O'Brien-Whitmarsh,MID,Southampton,693,34,339,9,True,2025-04-26T14:00:00Z,45,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,,,,,0.0,0.0,0.0,0.0,0.0
