name,position,team,element,round,fixture,opponent_team,was_home,kickoff_time,value,selected,transfers_in,transfers_out,transfers_balance,minutes,starts,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,defensive_contribution,clearances_blocks_interceptions,recoveries,tackles,influence,creativity,threat,ict_index,xP
Kjell Scherpen,GK,Brighton,142,13,127,16,False,2025-11-30T14:05:00Z,40,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Levi Samuels Colwill,DEF,Chelsea,227,13,123,1,True,2025-11-30T16:30:00Z,48,14050,31,122,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Shea Lacey,MID,Man Utd,755,13,124,8,False,2025-11-30T12:00:00Z,45,114,45,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Harvey Elliott,MID,Aston Villa,389,13,121,20,True,2025-11-30T14:05:00Z,53,26621,269,1914,-1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Olivier Boscagli,DEF,Brighton,143,13,127,16,False,2025-11-30T14:05:00Z,42,9574,71,197,-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Takai Kōta,DEF,Spurs,577,13,129,10,True,2025-11-29T20:00:00Z,40,6443,18,110,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jeremie Frimpong,DEF,Liverpool,370,13,130,19,False,2025-11-30T14:05:00Z,57,594092,81,14788,-14707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nehemiah Oriola,MID,Brighton,744,13,127,16,False,2025-11-30T14:05:00Z,45,1030,85,89,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Joe Rodon,DEF,Leeds,348,13,126,13,False,2025-11-29T15:00:00Z,41,698563,8347,41288,-32941,90,1,0,0,0,0,3,0,0,3,1,0,0,0.00,0.01,0.01,3.10,9,6,3,3,22.0,0.7,2.0,2.5,0.0
Jenson Seelt,DEF,Sunderland,542,13,128,4,True,2025-11-29T15:00:00Z,40,13282,0,282,-282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Marshall Munetsi,MID,Wolves,648,13,121,2,False,2025-11-30T14:05:00Z,54,9888,228,1411,-1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Mateus Mané,FWD,Wolves,749,13,121,2,False,2025-11-30T14:05:00Z,45,2675,476,278,198,13,0,1,0,0,0,0,0,0,4,0,0,0,0.03,0.00,0.03,0.11,0,0,0,0,3.2,0.2,7.0,1.0,0.0
Rhys Williams,DEF,Liverpool,379,13,130,19,False,2025-11-30T14:05:00Z,38,32056,630,1152,-522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Luis Eduardo Soares da Silva,DEF,Nott'm Forest,729,13,127,6,True,2025-11-30T14:05:00Z,45,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Josh Laurent,MID,Burnley,209,13,122,5,False,2025-11-29T15:00:00Z,49,3632,33,73,-40,15,0,1,0,0,0,3,0,0,7,0,0,0,0.00,0.03,0.03,1.55,1,0,0,1,6.4,15.7,0.0,2.2,0.0
Diego León Blanco,DEF,Man Utd,439,13,124,8,False,2025-11-30T12:00:00Z,42,6861,50,120,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Romaine Mundle,MID,Sunderland,548,13,128,4,True,2025-11-29T15:00:00Z,49,533,22,14,8,27,0,0,0,0,0,0,0,0,1,1,0,0,0.00,0.21,0.21,0.17,4,2,2,0,1.4,4.4,2.0,0.8,0.0
Will Dennis,GK,Bournemouth,68,13,128,17,False,2025-11-29T15:00:00Z,40,120714,480,1580,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Callum Wilson,FWD,West Ham,671,13,130,12,True,2025-11-30T14:05:00Z,58,105707,43597,4114,39483,77,1,2,0,0,0,1,0,0,5,0,0,0,0.08,0.01,0.09,0.90,1,1,0,0,0.0,0.3,9.0,0.8,0.0
Vitaly Janelt,MID,Brentford,125,13,122,3,True,2025-11-29T15:00:00Z,49,1960,72,79,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Douglas Luiz Soares de Paulo,MID,Nott'm Forest,699,13,127,6,True,2025-11-30T14:05:00Z,50,4944,16,363,-347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0.0,0.0,0.0,0.0,0.0
