timestamp_utc,mode,metric,value,station
2026-07-13T16:41:18.310840+00:00,evening_second_summary,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-13T16:45:57.097556+00:00,evening_check,available_bikes,7,"Tooley Street, Bermondsey"
2026-07-13T16:48:32.394177+00:00,status,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-13T16:48:32.394266+00:00,status,available_bikes,7,"Tooley Street, Bermondsey"
2026-07-13T16:51:08.159091+00:00,evening_check,available_bikes,7,"Tooley Street, Bermondsey"
2026-07-13T16:55:41.616684+00:00,evening_check,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-13T17:37:39.365852+00:00,status,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-13T17:37:39.365930+00:00,status,available_bikes,5,"Tooley Street, Bermondsey"
2026-07-14T07:01:29.872029+00:00,check,empty_docks,16,"Tooley Street, Bermondsey"
2026-07-14T07:05:40.648406+00:00,check,empty_docks,17,"Tooley Street, Bermondsey"
2026-07-14T07:11:11.520656+00:00,summary,empty_docks,19,"Tooley Street, Bermondsey"
2026-07-14T07:15:51.579683+00:00,check,empty_docks,19,"Tooley Street, Bermondsey"
2026-07-14T07:21:10.906381+00:00,check,empty_docks,17,"Tooley Street, Bermondsey"
2026-07-14T07:25:41.538836+00:00,morning_bikes,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-14T07:31:24.860895+00:00,check,empty_docks,16,"Tooley Street, Bermondsey"
2026-07-14T07:35:55.579498+00:00,check,empty_docks,15,"Tooley Street, Bermondsey"
2026-07-14T07:41:28.884324+00:00,check,empty_docks,16,"Tooley Street, Bermondsey"
2026-07-14T16:15:56.002897+00:00,evening_summary,available_bikes,13,"Tooley Street, Bermondsey"
2026-07-14T16:31:29.765256+00:00,evening_check,available_bikes,12,"Tooley Street, Bermondsey"
2026-07-14T16:35:49.417181+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-14T16:41:20.330094+00:00,evening_second_summary,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-14T16:45:47.347464+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-14T16:51:11.920570+00:00,evening_check,available_bikes,11,"Tooley Street, Bermondsey"
2026-07-14T16:55:41.249160+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-14T17:22:55.377531+00:00,status,empty_docks,11,"Tooley Street, Bermondsey"
2026-07-14T17:22:55.377613+00:00,status,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-15T07:01:29.209963+00:00,check,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-15T07:05:43.054456+00:00,check,empty_docks,9,"Tooley Street, Bermondsey"
2026-07-15T07:11:13.275751+00:00,summary,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-15T07:15:44.868922+00:00,check,empty_docks,6,"Tooley Street, Bermondsey"
2026-07-15T07:21:12.556220+00:00,check,empty_docks,5,"Tooley Street, Bermondsey"
2026-07-15T07:25:44.409738+00:00,morning_bikes,empty_docks,5,"Tooley Street, Bermondsey"
2026-07-15T07:31:21.730422+00:00,check,empty_docks,1,"Tooley Street, Bermondsey"
2026-07-15T07:35:43.323120+00:00,check,empty_docks,2,"Tooley Street, Bermondsey"
2026-07-15T07:41:17.762820+00:00,check,empty_docks,4,"Tooley Street, Bermondsey"
2026-07-15T09:24:20.082897+00:00,status,empty_docks,0,"Tooley Street, Bermondsey"
2026-07-15T09:24:20.083000+00:00,status,available_bikes,17,"Tooley Street, Bermondsey"
2026-07-15T09:25:57.683657+00:00,status,empty_docks,0,"Tooley Street, Bermondsey"
2026-07-15T09:25:57.683758+00:00,status,available_bikes,17,"Tooley Street, Bermondsey"
2026-07-15T16:15:55.192735+00:00,evening_summary,available_bikes,16,"Tooley Street, Bermondsey"
2026-07-15T16:31:28.091083+00:00,evening_check,available_bikes,17,"Tooley Street, Bermondsey"
2026-07-15T16:35:52.176816+00:00,evening_check,available_bikes,16,"Tooley Street, Bermondsey"
2026-07-15T16:41:18.611979+00:00,evening_second_summary,available_bikes,16,"Tooley Street, Bermondsey"
2026-07-15T16:45:48.967082+00:00,evening_check,available_bikes,15,"Tooley Street, Bermondsey"
2026-07-15T16:51:25.408884+00:00,evening_check,available_bikes,13,"Tooley Street, Bermondsey"
2026-07-15T16:55:38.761507+00:00,evening_check,available_bikes,10,"Tooley Street, Bermondsey"
2026-07-16T07:01:28.465270+00:00,check,empty_docks,10,"Tooley Street, Bermondsey"
2026-07-16T07:05:41.350105+00:00,check,empty_docks,11,"Tooley Street, Bermondsey"
2026-07-16T07:11:16.551225+00:00,summary,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-16T07:15:58.487953+00:00,check,empty_docks,12,"Tooley Street, Bermondsey"
2026-07-16T07:21:19.145442+00:00,check,empty_docks,13,"Tooley Street, Bermondsey"
2026-07-16T07:21:59.022972+00:00,status,empty_docks,13,"Tooley Street, Bermondsey"
2026-07-16T07:21:59.023047+00:00,status,available_bikes,6,"Tooley Street, Bermondsey"
2026-07-16T07:25:47.263397+00:00,morning_bikes,empty_docks,11,"Tooley Street, Bermondsey"
2026-07-16T07:31:27.578197+00:00,check,empty_docks,8,"Tooley Street, Bermondsey"
2026-07-16T07:35:48.268304+00:00,check,empty_docks,8,"Tooley Street, Bermondsey"
2026-07-16T07:41:11.891876+00:00,check,empty_docks,7,"Tooley Street, Bermondsey"
2026-07-16T16:15:53.303698+00:00,evening_summary,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-16T16:31:06.955238+00:00,evening_check,available_bikes,7,"Tooley Street, Bermondsey"
2026-07-16T16:35:42.577718+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-16T16:41:03.517038+00:00,evening_second_summary,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-16T16:45:50.777213+00:00,evening_check,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-16T16:51:04.539908+00:00,evening_check,available_bikes,7,"Tooley Street, Bermondsey"
2026-07-16T16:55:47.123248+00:00,evening_check,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-20T07:01:16.038549+00:00,check,empty_docks,21,"Tooley Street, Bermondsey"
2026-07-20T07:05:43.950699+00:00,check,empty_docks,22,"Tooley Street, Bermondsey"
2026-07-20T07:10:50.969916+00:00,summary,empty_docks,23,"Tooley Street, Bermondsey"
2026-07-20T07:15:48.550024+00:00,check,empty_docks,20,"Tooley Street, Bermondsey"
2026-07-20T07:20:46.062970+00:00,check,empty_docks,21,"Tooley Street, Bermondsey"
2026-07-20T07:25:46.411101+00:00,morning_bikes,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-20T07:31:00.859382+00:00,check,empty_docks,19,"Tooley Street, Bermondsey"
2026-07-20T07:35:44.759364+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-20T07:40:52.442231+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-20T16:15:54.419578+00:00,evening_summary,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-20T16:30:51.451664+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-20T16:35:43.746305+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-20T16:40:53.049143+00:00,evening_second_summary,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-20T16:46:00.925500+00:00,evening_check,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-20T16:50:50.092259+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-20T16:55:42.257570+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-21T07:01:09.067587+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-21T07:05:44.488900+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-21T07:10:56.255911+00:00,summary,empty_docks,21,"Tooley Street, Bermondsey"
2026-07-21T07:15:50.728990+00:00,check,empty_docks,22,"Tooley Street, Bermondsey"
2026-07-21T07:20:45.693849+00:00,check,empty_docks,20,"Tooley Street, Bermondsey"
2026-07-21T07:22:39.880332+00:00,status,empty_docks,20,"Tooley Street, Bermondsey"
2026-07-21T07:22:39.880415+00:00,status,available_bikes,3,"Tooley Street, Bermondsey"
2026-07-21T07:25:49.265776+00:00,morning_bikes,empty_docks,20,"Tooley Street, Bermondsey"
2026-07-21T07:30:57.161692+00:00,check,empty_docks,20,"Tooley Street, Bermondsey"
2026-07-21T07:35:45.017483+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-21T07:40:59.562863+00:00,check,empty_docks,18,"Tooley Street, Bermondsey"
2026-07-21T16:15:49.941126+00:00,evening_summary,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-21T16:31:08.677494+00:00,evening_check,available_bikes,8,"Tooley Street, Bermondsey"
2026-07-21T16:35:32.703197+00:00,evening_check,available_bikes,9,"Tooley Street, Bermondsey"
2026-07-21T16:40:46.637151+00:00,evening_second_summary,available_bikes,10,"Tooley Street, Bermondsey"
2026-07-21T16:45:51.675557+00:00,evening_check,available_bikes,15,"Tooley Street, Bermondsey"
